N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
141,CJ,"68,500","1,900",-2.70%,"5,000","19,986","29,177",19.97,"167,416",18.74,3.94,
142,HL만도,"42,400",700,-1.62%,"1,000","19,910","46,957",25.32,"360,064",18.47,4.78,
143,TIGER 미국S&P500,"14,810",150,+1.02%,0,"19,823","133,850",0.04,"607,530",N/A,N/A,
144,동원산업,"39,450",350,-0.88%,"1,000","19,718","49,983",1.92,"20,003",6.30,8.53,
145,KODEX 200TR,"11,555",105,-0.90%,0,"19,655","170,100",3.67,"227,406",N/A,N/A,
146,신세계,"198,000",400,-0.20%,"5,000","19,493","9,845",15.88,"37,593",4.98,10.34,
147,KCC,"215,000",500,-0.23%,"5,000","19,106","8,886",12.03,"32,529",53.94,0.67,
148,대우건설,"4,530",20,-0.44%,"5,000","18,828","415,623",11.72,"1,342,788",4.40,14.55,
149,KODEX 레버리지,"16,700",275,-1.62%,0,"18,537","111,000",0.31,"19,198,088",N/A,N/A,
150,두산,"109,700","2,200",+2.05%,"5,000","18,127","16,524",9.87,"352,972",-3.25,-36.00,
151,동서,"18,150",200,-1.09%,500,"18,096","99,700",3.51,"47,744",10.53,11.33,
152,KODEX 200선물인버스2X,"2,560",50,+1.99%,0,"18,010","703,500",1.06,"152,026,533",N/A,N/A,
153,CJ대한통운,"77,700","3,100",-3.84%,"5,000","17,725","22,812",15.19,"220,631",8.90,5.09,
154,효성중공업,"188,900","14,200",+8.13%,"5,000","17,614","9,325",8.72,"329,547",109.19,1.07,
155,JB금융지주,"8,900",150,+1.71%,"5,000","17,531","196,983",34.07,"584,063",2.93,13.76,
156,LIG넥스원,"77,500",200,+0.26%,"5,000","17,050","22,000",13.09,"91,357",12.10,14.48,
157,현대엘리베이,"43,300",450,+1.05%,"5,000","16,927","39,092",27.79,"276,685",5.84,6.89,
158,OCI홀딩스,"102,700",200,+0.20%,"5,000","16,856","16,413",23.50,"97,637",2.55,25.21,
159,두산퓨얼셀,"25,500",650,-2.49%,100,"16,701","65,494",15.10,"367,140",240.57,0.74,
160,TIGER 미국테크TOP10 INDXX,"13,835",70,+0.51%,0,"16,602","120,000",0.82,"610,350",N/A,N/A,
161,코스모화학,"47,050",250,-0.53%,"1,000","16,471","35,008",3.09,"621,139","2,045.65",6.13,
162,TIGER 미국필라델피아반도체나스닥,"13,030",55,+0.42%,0,"16,255","124,750",0.12,"852,470",N/A,N/A,
163,현대위아,"58,600",500,-0.85%,"5,000","15,936","27,195",10.56,"136,682",27.52,1.99,
164,대한전선,"12,800",230,-1.77%,"1,000","15,929","124,447",3.07,"784,555",78.53,3.32,
165,에스엘,"34,000",200,-0.58%,500,"15,792","46,449",13.92,"129,458",7.75,9.87,
166,롯데정밀화학,"61,000",500,+0.83%,"5,000","15,738","25,800",21.40,"60,761",5.21,6.51,
167,LX세미콘,"96,400",900,-0.92%,500,"15,679","16,264",26.76,"71,975",9.11,26.70,
168,덴티움,"138,300",700,-0.50%,500,"15,308","11,069",19.52,"33,547",17.26,25.86,
169,대덕전자,"30,850",300,-0.96%,500,"15,245","49,417",12.36,"513,375",10.01,23.94,
170,HD현대건설기계,"77,300","1,400",+1.84%,"5,000","15,229","19,701",25.87,"125,820",11.58,7.99,
171,한전KPS,"33,500",500,-1.47%,200,"15,075","45,000",8.51,"117,502",12.03,8.61,
172,효성티앤씨,"346,000","6,000",+1.76%,"5,000","14,974","4,328",9.37,"19,449",-59.61,0.88,
173,KG모빌리티,"7,910",210,-2.59%,"5,000","14,788","186,956",25.21,"600,972",-64.84,-12.10,
174,오뚜기,"368,500","3,000",-0.81%,"5,000","14,769","4,008",10.48,"5,566",5.44,16.53,
175,삼아알미늄,"99,900",500,+0.50%,500,"14,697","14,712",37.51,"90,568",79.92,13.24,
176,SK네트웍스,"6,230",200,+3.32%,"2,500","14,689","235,778",8.19,"2,962,321",24.82,3.88,
177,솔루엠,"28,950","1,850",+6.83%,500,"14,477","50,006",14.97,"2,617,462",17.55,16.93,
178,코오롱인더,"51,900","1,950",+3.90%,"5,000","14,282","27,519",12.17,"1,153,838",13.11,7.13,
179,하이트진로,"20,300",250,-1.22%,"5,000","14,237","70,134",9.83,"124,828",20.12,7.72,
180,TCC스틸,"54,000","1,500",+2.86%,"1,000","14,155","26,214",5.67,"464,583",236.84,16.54,
181,LX인터내셔널,"35,850",600,+1.70%,"5,000","13,895","38,760",21.45,"681,462",2.86,25.53,
182,KODEX 단기채권PLUS,"107,365",15,+0.01%,0,"13,460","12,537",0.12,"170,872",N/A,N/A,
183,녹십자,"114,300","1,400",-1.21%,"5,000","13,358","11,687",18.37,"21,403",36.48,5.03,
184,현대백화점,"57,000","3,800",-6.25%,"5,000","13,339","23,402",20.22,"213,323",9.65,3.20,
185,효성,"63,200",400,+0.64%,"5,000","13,317","21,071",5.54,"33,400",-41.74,0.60,
186,KODEX 코스닥150선물인버스,"3,630",10,+0.28%,0,"13,315","366,800",3.84,"135,155,568",N/A,N/A,
187,TIGER MSCI Korea TR,"14,495",85,-0.58%,0,"13,219","91,200",17.57,"1,510",N/A,N/A,
188,에스디바이오센서,"12,540","1,380",-9.91%,500,"13,098","104,452",8.62,"3,497,438",6.07,35.30,
189,TIGER 2차전지테마,"34,140",210,+0.62%,0,"12,854","37,650",0.48,"2,283,077",N/A,N/A,
190,DGB금융지주,"7,530",120,+1.62%,"5,000","12,737","169,146",43.54,"438,683",3.13,7.38,
191,KBSTAR 200,"34,045",305,-0.89%,0,"12,648","37,150",0.01,"1,214,477",N/A,N/A,
192,금호타이어,"4,340",30,+0.70%,"5,000","12,467","287,260",4.25,"384,436",-21.49,-6.87,
193,롯데칠성,"133,500",800,+0.60%,500,"12,387","9,279",11.47,"38,541",11.04,9.11,
194,한샘,"52,600","1,000",-1.87%,"1,000","12,379","23,534",13.69,"72,169",-11.97,-13.37,
195,TIGER KOFR금리액티브(합성),"102,415",10,+0.01%,0,"12,207","11,919",0.05,"10,305",N/A,N/A,
196,대웅제약,"105,200",900,-0.85%,"2,500","12,189","11,587",9.10,"31,473",27.68,7.17,
197,한올바이오파마,"23,150",450,-1.91%,500,"12,094","52,241",6.06,"349,658","-1,286.11",0.15,
198,코스맥스,"106,000","1,000",-0.93%,500,"12,030","11,350",25.16,"63,616",98.06,3.65,
199,GS건설,"13,990",200,-1.41%,"5,000","11,973","85,581",22.54,"826,068",3.59,7.18,
200,한국콜마,"52,000",300,+0.58%,500,"11,898","22,881",26.39,"221,623",-45.45,-3.26,
